Unnamed: 0,title,video_id,published_at,keyword,likes,comments,views,pctile_7d_views,pctile_30d_views,pctile_alltime_views,like_rate,comment_rate,age_days,views_per_day,cohort_month,sentiment_var,sentiment_entropy,comment_likes_var,n_comments,frac_neg,frac_neu,frac_pos,mean_comment_likes,sentiment_var_norm,comment_likes_var_norm,sentiment_entropy_norm,controversy_score,consistent_high_performer
603,Full Interview: Lady Gaga Talks To Stephen Colbert,zWaV_PTlCxk,2018-10-05,interview,82405.0,5855.0,7825074.0,100.0,87.5,86.21607237892496,0.010530890826080367,0.0007482357355342582,1419,5514.4989429175475,2018-10,0.41,0.9219280948830342,1708367.56,10,0.1,0.1,0.8,1144.2,0.41,1.997946099341137e-05,0.5816718657171253,0.33056394839270625,True
653,Rich Brian - History (Official Video),6DrNC-xQcGs,2018-10-10,history,738439.0,23522.0,66368842.0,100.0,100.0,96.91325172964342,0.01112629025529781,0.0003544132953231277,1414,46936.94625176804,2018-10,0.16000000000000003,0.7219280948844771,7613947.8,10,0.0,0.2,0.8,2203.0,0.16000000000000003,8.904557581037789e-05,0.4554859150035144,0.20519165352644161,True
1611,"All Xbox, Nintendo and PlayStation Startups (Unused Brand ID)",Hru1FjQUkpI,2018-11-19,xbox,199933.0,22438.0,17069314.0,100.0,100.0,92.17668972857903,0.011713007329995804,0.0013145226574424725,1374,12423.08151382824,2018-11,0.25,0.9999999999971146,15717390.09,10,0.0,0.5,0.5,1710.9,0.25,0.0001838158190157775,0.6309297535716959,0.29370452313023726,True
451,Scrambled,kmrZyByO8Qc,2018-11-29,cubes,752667.0,6382.0,50348575.0,100.0,100.0,96.27461415646621,0.014949122194620206,0.00012675631832678483,1364,36912.44501466276,2018-11,0.16,0.7219280948844771,1941372.9600000002,10,0.0,0.2,0.8,612.2,0.16,2.2704473109980837e-05,0.4554859150035144,0.20516953982554145,True
208,27 EASY MAGIC TRICKS,xqAoloAGlCE,2019-01-18,how-to,262633.0,5960.0,47276202.0,100.0,100.0,96.06173496540713,0.005555289741760559,0.00012606765661928596,1314,35978.84474885845,2019-01,0.16000000000000003,0.7219280948844771,80.55999999999999,10,0.0,0.2,0.8,5.8,0.16000000000000003,9.421540278072359e-10,0.4554859150035144,0.20516197198188948,True
1322,I Went Back To 1st Grade For A Day,A-vX1AGBGsc,2019-01-31,mrbeast,2523764.0,136866.0,134377650.0,100.0,100.0,98.61628525811602,0.018781129153545996,0.001018517588304305,1301,103287.9707916987,2019-01,0.6900000000000001,1.5709505944503406,42641137.489999995,10,0.4,0.3,0.3,3381.1,0.6900000000000001,0.0004986906583476369,0.9911594714322026,0.5605527206968501,True
1312,Giant Monopoly Game With Real Money,2nd73lyvq4w,2019-02-15,mrbeast,1552125.0,67399.0,66839006.0,100.0,80.0,96.96647152740819,0.02322184444215104,0.001008378251465918,1286,51974.34370139969,2019-02,0.36000000000000004,1.2954618442339938,487475442.16,10,0.1,0.6,0.3,12019.2,0.36000000000000004,0.00570105450953522,0.8173454221461778,0.39434882555190437,True
1314,Surviving 24 Hours Straight In A Desert,Ooke4YZv8Ts,2019-03-16,mrbeast,2129926.0,91190.0,98750169.0,100.0,100.0,98.1373070782331,0.021568833973337302,0.0009234414576039865,1257,78560.19809069212,2019-03,0.25,0.9999999999971146,4393784.65,10,0.0,0.5,0.5,1086.5,0.25,5.1385574792888616e-05,0.6309297535716959,0.29366037971549624,True
181,How to Get Your Brain to Focus | Chris Bailey | TEDxManchester,Hu4Yvq-g7_Y,2019-04-05,how-to,315980.0,6186.0,13176819.0,100.0,80.0,90.73975518893029,0.02397999092193647,0.00046946080081998546,1237,10652.238480194017,2019-04,0.21000000000000002,0.8812908992278072,6927398.209999999,10,0.0,0.3,0.7,2292.7,0.21000000000000002,8.101633721171966e-05,0.5560326498764911,0.2553712220712343,True
135,All Sports Baseball Battle | Dude Perfect,dwV04XuiWq4,2019-04-22,sports,778342.0,20737.0,57369066.0,100.0,100.0,96.59393294305481,0.013567276831733673,0.00036146657852160254,1220,47023.82459016393,2019-04,0.20999999999999996,0.8812908992278072,24579128.959999997,10,0.0,0.3,0.7,2941.2,0.20999999999999996,0.0002874543861675456,0.5560326498764911,0.25544003475421956,True
